,Object name,Astrometric RA (hh:mm:ss),"Astrometric Dec (dd mm'ss"")","Dist. from center RA ("")","Dist. from center Dec ("")","Dist. from center Norm ("")",Visual magnitude (V),"RA rate (""/h)","Dec rate (""/h)",ra,dec,V_mag,name_x,id_x,Absolute magntiude (H),Magnitude slope (G),Eccentricity,Perihelion (au),Time of perihelion passage (JD),Longitude of ascending node (deg),Argument of perihelion (deg),Inclination (deg),Epoch (JD),H_mag,name_y,id_y
1858,558738 (2015 BD114),17:49:49.03,-27:47:47.2,43.0,4.E3,3957.,22.7,45.7,0.7839,267.4542916666666,-27.796444444444447,22.7,558738,2015 BD114,16.85,0.15,0.079487247,2.6942035,2460144.87800,276.11718,83.690542,10.795926,2460600.5,16.85,558738,2015 BD114
1859,560273 (2015 FE242),17:50:09.95,-29:42:19.5,318.,-3.E3,2932.,22.3,49.98,-9.246,267.5414583333333,-29.705416666666665,22.3,560273,2015 FE242,16.63,0.15,0.121675102,2.7248884,2459704.37090,31.867636,272.25398,11.179638,2460600.5,16.63,560273,2015 FE242
1860,560411 (2015 FM339),17:48:33.42,-28:29:34.9,-950.,1.E3,1734.,22.8,35.43,-11.57,267.13924999999995,-28.49302777777778,22.8,560411,2015 FM339,16.44,0.15,0.15231101,2.6264256,2460743.49439,59.505458,52.554988,23.607915,2460600.5,16.44,560411,2015 FM339
1861,564504 (2016 GM227),17:50:44.60,-29:38:06.1,773.,-3.E3,2771.,22.3,47.29,-7.78,267.6858333333333,-29.63502777777778,22.3,564504,2016 GM227,16.46,0.15,0.139286595,2.548641,2460018.08550,26.234892,321.64975,9.7208456,2460600.5,16.46,564504,2016 GM227
1862,566839 (2018 VA36),17:49:38.08,-30:43:16.2,-101.,-7.E3,6573.,23.5,39.33,-7.253,267.4086666666666,-30.721166666666665,23.5,566839,2018 VA36,17.21,0.15,0.088409981,2.7855486,2460485.75340,20.273046,52.424644,10.065649,2460600.5,17.21,566839,2018 VA36
1863,567301 (2000 WP204),17:48:46.31,-28:44:19.9,-781.,564.,963.8,22.5,45.7,-7.869,267.1929583333333,-28.738861111111113,22.5,567301,2000 WP204,16.58,0.15,0.073226429,2.9472365,2459658.51700,34.839385,269.33758,9.9418511,2460600.5,16.58,567301,2000 WP204
1864,573272 (2009 BO67),17:48:24.66,-27:48:27.7,-1.E3,4.E3,4060.,22.1,47.17,-2.364,267.10274999999996,-27.807694444444444,22.1,573272,2009 BO67,16.28,0.15,0.096674482,2.8513319,2461243.86517,308.28031,255.68606,5.5735626,2460600.5,16.28,573272,2009 BO67
1865,579101 (2014 MA38),17:51:17.96,-29:27:24.4,1.E3,-2.E3,2353.,22.8,57.87,-5.873,267.82483333333334,-29.456777777777777,22.8,579101,2014 MA38,17.66,0.15,0.125726472,1.9458796,2460691.03204,348.19597,40.174277,6.7721164,2460600.5,17.66,579101,2014 MA38
1866,580852 (2015 DB203),17:48:49.35,-27:01:34.4,-741.,7.E3,6771.,23.8,36.98,-0.1883,267.205625,-27.02622222222222,23.8,580852,2015 DB203,17.45,0.15,0.135849173,2.6210306,2460524.80369,278.92924,157.48605,8.6592078,2460600.5,17.45,580852,2015 DB203
1867,581328 (2015 FS385),17:50:02.82,-28:18:46.1,224.,2.E3,2110.,23.0,41.66,-0.6153,267.51174999999995,-28.312805555555556,23.0,581328,2015 FS385,16.88,0.15,0.073129095,2.8453902,2460836.69282,286.32461,203.21446,9.208314,2460600.5,16.88,581328,2015 FS385
1868,584715 (2017 QX39),17:48:25.31,-29:51:45.5,-1.E3,-3.E3,3637.,22.8,44.06,-1.698,267.10545833333333,-29.862638888888892,22.8,584715,2017 QX39,16.86,0.15,0.13578631,2.5794094,2460081.89550,294.14995,67.543941,10.083591,2460600.5,16.86,584715,2017 QX39
1869,590179 (2011 SJ140),17:48:55.05,-28:02:50.7,-666.,3.E3,3126.,23.2,75.1,-9.631,267.22937499999995,-28.047416666666667,23.2,590179,2011 SJ140,18.71,0.15,0.105663449,1.9785823,2460356.35100,19.089417,259.17802,7.5473425,2460600.5,18.71,590179,2011 SJ140
1870,599547 (2010 KY156),17:50:52.88,-27:03:40.2,881.,7.E3,6664.,23.1,65.2,-8.295,267.72033333333326,-27.06116666666667,23.1,599547,2010 KY156,18.32,0.15,0.03363778,2.1558717,2460030.67820,31.613645,146.85812,7.4351787,2460600.5,18.32,599547,2010 KY156
1871,611644 (2007 CU82),17:49:07.85,-27:01:03.1,-498.,7.E3,6780.,22.9,71.58,-4.887,267.2827083333333,-27.017527777777776,22.9,611644,2007 CU82,18.33,0.15,0.144363499,2.0954658,2460044.14570,346.78369,250.95378,4.0631663,2460600.5,18.33,611644,2007 CU82
1872,614708 (1995 WD24),17:49:42.39,-27:01:08.5,-44.2,7.E3,6756.,23.5,49.06,-5.031,267.42662499999994,-27.019027777777776,23.5,614708,1995 WD24,17.95,0.15,0.08175064,2.3665327,2460610.50356,20.719908,29.480697,5.2658921,2460600.5,17.95,614708,1995 WD24
1873,615279 (2002 SE64),17:48:44.91,-27:40:21.9,-799.,4.E3,4475.,22.2,47.69,6.438,267.187125,-27.67275,22.2,615279,2002 SE64,16.68,0.15,0.04283574,2.5309627,2460723.70250,260.41098,177.92343,21.33935,2460600.5,16.68,615279,2002 SE64
1874,616346 (2005 TH180),17:48:47.31,-28:50:34.1,-768.,190.,791.0,22.5,53.32,-8.305,267.19712499999997,-28.842805555555554,22.5,616346,2005 TH180,17.07,0.15,0.172710762,2.2586997,2460152.85010,27.712308,314.92230,9.1460148,2460600.5,17.07,616346,2005 TH180
1875,618063 (2006 UO144),17:48:27.42,-26:59:11.8,-1.E3,7.E3,6950.,23.3,41.96,-4.515,267.11424999999997,-26.986611111111113,23.3,618063,2006 UO144,17.32,0.15,0.13888388,2.3459456,2460731.69853,21.616557,64.851086,5.1418492,2460600.5,17.32,618063,2006 UO144
1876,619084 (2005 QP104),17:48:22.73,-29:15:49.3,-1.E3,-1.E3,1715.,21.8,60.4,-3.951,267.09470833333336,-29.263694444444443,21.8,619084,2005 QP104,16.57,0.15,0.270545146,2.2907176,2459612.89500,321.32763,340.84530,6.6236305,2460600.5,16.57,619084,2005 QP104
1877,622016 (2011 WX98),17:48:51.18,-29:51:45.1,-717.,-3.E3,3553.,23.1,43.27,1.161,267.21324999999996,-29.86252777777778,23.1,622016,2011 WX98,17.22,0.15,0.206321526,2.0799232,2460462.43970,274.97721,118.41244,16.299554,2460600.5,17.22,622016,2011 WX98
1878,622403 (2013 TC28),17:50:14.88,-28:07:18.5,382.,3.E3,2812.,23.0,65.85,-7.484,267.56199999999995,-28.121805555555557,23.0,622403,2013 TC28,18.16,0.15,0.134977473,2.0331969,2460384.72630,14.828522,311.31904,6.7541934,2460600.5,18.16,622403,2013 TC28
1879,623560 (2016 PM51),17:49:49.92,-27:05:29.5,54.6,6.E3,6495.,23.5,59.02,-5.064,267.45799999999997,-27.091527777777777,23.5,623560,2016 PM51,18.36,0.15,0.205010166,1.9064014,2460424.97500,7.6304305,347.63587,4.6970878,2460600.5,18.36,623560,2016 PM51
1880,626286 (2007 DH54),17:48:46.31,-28:10:53.0,-781.,3.E3,2688.,23.2,47.76,-4.221,267.1929583333333,-28.18138888888889,23.2,626286,2007 DH54,17.47,0.15,0.035925689,2.6996969,2460391.63980,343.99514,43.545005,5.2062465,2460600.5,17.47,626286,2007 DH54
1881,627717 (2010 GC200),17:50:08.17,-30:09:49.4,294.,-5.E3,4574.,23.8,33.2,-4.656,267.5340416666666,-30.16372222222222,23.8,627717,2010 GC200,17.18,0.15,0.229193425,2.3297107,2460575.08271,354.79459,88.178348,7.4253868,2460600.5,17.18,627717,2010 GC200
1882,630560 (2006 BX28),17:50:45.08,-28:33:00.8,779.,1.E3,1468.,23.1,44.87,-3.768,267.6878333333333,-28.550222222222224,23.1,630560,2006 BX28,17.21,0.15,0.077321357,2.632629,2460376.85990,337.47604,57.263496,5.596195,2460600.5,17.21,630560,2006 BX28
1883,634586 (2011 YB28),17:49:04.37,-30:45:04.4,-544.,-7.E3,6702.,22.3,56.27,-8.229,267.2682083333333,-30.75122222222222,22.3,634586,2011 YB28,17.03,0.15,0.064778711,2.543971,2459893.76760,2.6049845,263.06796,8.8957228,2460600.5,17.03,634586,2011 YB28
1884,639529 (2017 FL34),17:51:05.23,-27:44:45.5,1.E3,4.E3,4270.,22.9,51.58,-3.738,267.7717916666667,-27.745972222222225,22.9,639529,2017 FL34,17.38,0.15,0.015426202,2.7064534,2460023.60710,340.30150,319.52820,4.7258309,2460600.5,17.38,639529,2017 FL34
1885,651001 (2012 UW184),17:50:09.92,-30:18:05.5,317.,-5.E3,5071.,22.9,40.86,-2.231,267.5413333333333,-30.30152777777778,22.9,651001,2012 UW184,16.72,0.15,0.168807348,2.5428732,2460078.37210,300.98230,73.504612,9.8481093,2460600.5,16.72,651001,2012 UW184
1886,660428 (2001 SJ360),17:48:42.77,-26:58:09.3,-827.,7.E3,6985.,22.8,39.99,2.293,267.1782083333333,-26.96925,22.8,660428,2001 SJ360,16.68,0.15,0.203151505,2.163887,2460480.36490,265.85903,140.33366,14.789156,2460600.5,16.68,660428,2001 SJ360
1887,662007 (2005 TC216),17:48:46.08,-27:42:44.0,-784.,4.E3,4332.,22.0,40.34,-3.134,267.19199999999995,-27.71222222222222,22.0,662007,2005 TC216,15.64,0.15,0.149559132,3.3338123,2461691.67210,339.22469,312.68447,4.6555256,2460600.5,15.64,662007,2005 TC216
1888,662282 (2005 XE130),17:51:18.79,-27:56:39.7,1.E3,3.E3,3638.,23.3,52.78,-4.65,267.8282916666667,-27.94436111111111,23.3,662282,2005 XE130,17.91,0.15,0.064841508,2.3032,2460700.01556,354.21941,62.239364,5.1543811,2460600.5,17.91,662282,2005 XE130
1889,674172 (2015 MA5),17:51:13.29,-29:06:01.9,1.E3,-738.,1365.,21.7,58.42,4.243,267.805375,-29.100527777777778,21.7,674172,2015 MA5,16.68,0.15,0.13272832,2.2023836,2461246.34100,269.14499,271.26463,15.389894,2460600.5,16.68,674172,2015 MA5
1890,674614 (2015 RO34),17:48:47.76,-27:56:30.7,-762.,3.E3,3518.,22.6,74.93,-22.87,267.19899999999996,-27.941861111111113,22.6,674614,2015 RO34,18.43,0.15,0.04421102,1.7482945,2460253.76930,45.425558,69.915925,20.549809,2460600.5,18.43,674614,2015 RO34
1891,689022 (2013 CF73),17:48:59.76,-28:24:41.7,-604.,2.E3,1845.,22.5,50.56,0.2027,267.24899999999997,-28.411583333333333,22.5,689022,2013 CF73,16.96,0.15,0.251650247,1.8978092,2460373.08090,278.58419,91.210814,10.725852,2460600.5,16.96,689022,2013 CF73
1892,691563 (2014 QK209),17:48:51.47,-26:58:47.4,-713.,7.E3,6934.,22.8,53.59,-2.468,267.2144583333333,-26.979833333333332,22.8,691563,2014 QK209,17.43,0.15,0.051262279,2.602563,2461322.19444,312.03122,262.92348,4.2983744,2460600.5,17.43,691563,2014 QK209
1893,692139 (2014 UA1),17:50:55.10,-29:43:05.0,911.,-3.E3,3097.,23.2,61.91,-4.763,267.7295833333333,-29.718055555555555,23.2,692139,2014 UA1,18.22,0.15,0.154908301,1.8931753,2460568.91983,327.73702,33.068818,6.9811903,2460600.5,18.22,692139,2014 UA1
1894,702020 (2005 UL540),17:49:44.89,-28:12:09.8,-11.5,2.E3,2494.,22.1,63.66,-2.293,267.43704166666663,-28.20272222222222,22.1,702020,2005 UL540,17.11,0.15,0.16756771,2.3052608,2459900.59370,304.59975,337.86219,6.0859186,2460600.5,17.11,702020,2005 UL540
1895,704051 (2007 YN12),17:48:36.11,-27:46:45.5,-915.,4.E3,4123.,23.6,48.8,-5.38,267.1504583333333,-27.779305555555556,23.6,704051,2007 YN12,17.94,0.15,0.046142873,2.5447318,2460670.93051,11.408009,59.132198,5.6486195,2460600.5,17.94,704051,2007 YN12
1896,707657 (2011 OV4),17:50:09.74,-29:43:17.8,315.,-3.E3,2990.,22.9,85.97,-3.339,267.54058333333325,-29.72161111111111,22.9,707657,2011 OV4,18.62,0.15,0.409276053,1.2795647,2460458.40720,307.13717,30.142221,7.467725,2460600.5,18.62,707657,2011 OV4
1897,711422 (2014 OZ152),17:48:40.39,-27:18:11.3,-858.,6.E3,5798.,23.1,62.56,-4.728,267.1682916666666,-27.30313888888889,23.1,711422,2014 OZ152,18.06,0.15,0.119687551,2.3544026,2459895.77220,349.11323,266.33564,4.3729194,2460600.5,18.06,711422,2014 OZ152
1898,716700 (2016 EW126),17:49:50.04,-29:31:09.8,56.2,-2.E3,2246.,22.6,73.55,-7.824,267.45849999999996,-29.519388888888887,22.6,716700,2016 EW126,18.06,0.15,0.12138883,2.0107252,2460311.80790,353.71971,291.07204,7.1988659,2460600.5,18.06,716700,2016 EW126
1899,717928 (2017 BW127),17:48:44.59,-27:15:09.0,-803.,6.E3,5970.,23.9,45.04,-1.274,267.18579166666666,-27.2525,23.9,717928,2017 BW127,18.04,0.15,0.199544852,2.0545609,2460505.26328,289.75775,105.77366,6.4670989,2460600.5,18.04,717928,2017 BW127
1900,722081 (2005 ET51),17:48:42.31,-30:19:57.9,-833.,-5.E3,5239.,22.0,69.28,-5.406,267.17629166666666,-30.33275,22.0,722081,2005 ET51,17.34,0.15,0.195044092,2.1185452,2459834.70910,324.59907,256.34134,7.6538457,2460600.5,17.34,722081,2005 ET51
1901,726339 (2009 WF69),17:48:15.07,-27:18:41.1,-1.E3,6.E3,5828.,22.5,45.95,0.6721,267.0627916666666,-27.311416666666666,22.5,726339,2009 WF69,16.64,0.15,0.109672913,2.5540542,2460189.79690,274.35085,89.310491,10.05589,2460600.5,16.64,726339,2009 WF69
1902,728026 (2010 KY126),17:49:55.18,-28:58:58.1,124.,-314.,337.3,23.6,51.19,-7.938,267.4799166666666,-28.982805555555554,23.6,728026,2010 KY126,18.28,0.15,0.176820578,2.0877884,2461100.94741,21.250387,119.38804,8.408112,2460600.5,18.28,728026,2010 KY126
1903,734963 (2015 DX29),17:49:21.88,-29:49:29.4,-314.,-3.E3,3360.,23.1,41.23,-6.894,267.34116666666665,-29.824833333333334,23.1,734963,2015 DX29,17.03,0.15,0.074005398,2.8273715,2460769.16946,20.724606,97.048028,8.9863783,2460600.5,17.03,734963,2015 DX29
1904,738531 (2016 TJ133),17:49:34.75,-27:06:06.8,-145.,6.E3,6459.,23.3,46.62,-2.961,267.3947916666666,-27.10188888888889,23.3,738531,2016 TJ133,17.64,0.15,0.124380314,2.2417032,2460857.43195,327.91080,129.45490,4.0912144,2460600.5,17.64,738531,2016 TJ133
1905,742698 (2007 VX226),17:48:38.16,-28:44:08.1,-888.,576.,1059.,23.3,40.55,0.3655,267.159,-28.735583333333334,23.3,742698,2007 VX226,17.31,0.15,0.216053509,2.1141624,2460920.24483,276.95133,194.57965,12.76291,2460600.5,17.31,742698,2007 VX226
1906,746080 (2011 SV104),17:49:42.87,-28:55:16.2,-37.9,-91.9,99.45,24.2,56.59,-4.889,267.42862499999995,-28.921166666666668,24.2,746080,2011 SV104,18.99,0.15,0.182299832,1.8118747,2460659.55213,337.20925,46.263539,6.0296452,2460600.5,18.99,746080,2011 SV104
1907,747985 (2013 CW184),17:48:50.99,-27:59:54.3,-719.,3.E3,3310.,23.5,43.96,-6.25,267.2124583333333,-27.998416666666667,23.5,747985,2013 CW184,17.73,0.15,0.243557021,2.0100359,2461034.15893,25.271904,101.89304,7.1662872,2460600.5,17.73,747985,2013 CW184
1908,753308 (2015 XJ416),17:49:58.75,-29:26:48.8,171.,-2.E3,1992.,23.2,45.39,-0.3728,267.49479166666663,-29.44688888888889,23.2,753308,2015 XJ416,17.40,0.15,0.206650148,2.1108284,2460373.00770,283.64173,98.547890,11.766009,2460600.5,17.40,753308,2015 XJ416
1909,(1995 SQ56),17:51:19.20,-27:03:33.5,1.E3,7.E3,6726.,24.1,73.56,-4.654,267.83,-27.059305555555557,24.1,,1995 SQ56,19.49,0.15,0.179587388,1.7876017,2460498.51940,348.15379,340.76967,4.1372896,2460600.5,19.49,,1995 SQ56
1910,(1995 SF69),17:50:04.01,-27:04:55.3,240.,7.E3,6533.,24.5,68.08,-4.739,267.51670833333327,-27.08202777777778,24.5,,1995 SF69,19.77,0.15,0.202549955,1.738293,2460546.21848,350.94413,356.74484,4.1978676,2460600.5,19.77,,1995 SF69
1911,(1999 TX339),17:51:01.21,-29:50:33.0,991.,-3.E3,3549.,23.4,51.68,-1.066,267.75504166666667,-29.842499999999998,23.4,,1999 TX339,17.90,0.15,0.214023686,1.9958444,2460377.15580,290.25013,77.353419,10.511378,2460600.5,17.90,,1999 TX339
1912,(2001 QT108),17:49:20.05,-29:56:28.6,-338.,-4.E3,3779.,23.8,49.07,-5.968,267.33354166666663,-29.941277777777778,23.8,,2001 QT108,18.19,0.15,0.49498385,1.3495072,2460165.55460,356.63734,17.585592,7.4770804,2460600.5,18.19,,2001 QT108
1913,(2001 UT208),17:48:34.55,-29:41:40.0,-935.,-3.E3,3023.,23.4,55.69,-11.12,267.14395833333333,-29.694444444444446,23.4,,2001 UT208,18.07,0.15,0.244280069,2.0332308,2460153.46540,34.796126,309.49671,12.684713,2460600.5,18.07,,2001 UT208
1914,(2001 UY239),17:48:33.41,-27:29:34.0,-950.,5.E3,5140.,23.8,43.58,-3.705,267.13920833333333,-27.49277777777778,23.8,,2001 UY239,17.93,0.15,0.119878329,2.3968102,2460556.98729,347.46518,68.625261,4.464266,2460600.5,17.93,,2001 UY239
1915,(2001 YM),17:49:01.35,-30:16:10.2,-583.,-5.E3,4980.,24.6,35.38,4.551,267.25562499999995,-30.2695,24.6,,2001 YM,18.32,0.15,0.417244252,1.5790261,2452164.83308,264.58029,127.94961,31.348598,2452260.5,18.32,,2001 YM
1916,(2003 JU20),17:48:51.71,-29:10:10.8,-710.,-987.,1215.,22.7,41.33,-11.54,267.2154583333333,-29.169666666666668,22.7,,2003 JU20,16.56,0.15,0.026336914,3.153514,2461131.00980,52.178089,141.84382,18.658048,2460600.5,16.56,,2003 JU20
1917,(2003 OJ35),17:49:53.10,-28:13:37.9,96.4,2.E3,2408.,23.1,50.65,-2.192,267.47124999999994,-28.227194444444443,23.1,,2003 OJ35,17.58,0.15,0.107543905,2.2624981,2460510.80552,302.62734,83.131953,6.4671243,2460600.5,17.58,,2003 OJ35
1918,(2004 TH217),17:48:18.36,-28:01:08.7,-1.E3,3.E3,3359.,24.5,48.07,-5.398,267.07649999999995,-28.01908333333333,24.5,,2004 TH217,19.01,0.15,0.222266307,1.7495552,2460771.21075,6.8167230,47.816719,5.7212756,2460600.5,19.01,,2004 TH217
1919,(2004 TJ350),17:51:16.23,-29:25:04.2,1.E3,-2.E3,2222.,23.2,64.48,-7.336,267.817625,-29.417833333333334,23.2,,2004 TJ350,18.12,0.15,0.210276224,2.2032919,2459931.58280,3.7740534,297.03157,7.4430593,2460600.5,18.12,,2004 TJ350
1920,(2004 VV79),17:50:08.36,-30:27:30.9,297.,-6.E3,5634.,24.4,38.02,-10.25,267.53483333333327,-30.458583333333333,24.4,,2004 VV79,18.07,0.15,0.218515169,2.2280851,2460362.02160,47.396892,355.84768,17.747425,2460600.5,18.07,,2004 VV79
1921,(2005 PT24),17:49:43.53,-27:46:25.5,-29.3,4.E3,4039.,23.0,75.12,-7.412,267.43137499999995,-27.77375,23.0,,2005 PT24,18.59,0.15,0.181725823,1.9601199,2460037.09190,4.2516893,211.19950,5.6986824,2460600.5,18.59,,2005 PT24
1922,(2005 QH93),17:50:04.53,-30:34:46.9,247.,-6.E3,6068.,23.3,45.88,-6.712,267.5188749999999,-30.579694444444446,23.3,,2005 QH93,17.46,0.15,0.216519062,2.1355123,2460289.96880,4.8482163,11.541882,8.5876377,2460600.5,17.46,,2005 QH93
1923,(2005 QU188),17:48:29.34,-29:58:51.8,-1.E3,-4.E3,4033.,23.3,42.15,-6.97,267.12225,-29.981055555555553,23.3,,2005 QU188,17.31,0.15,0.218978289,2.139299,2460361.92780,18.696317,12.199571,9.031528,2460600.5,17.31,,2005 QU188
1924,(2005 TS123),17:49:46.61,-29:11:53.5,11.1,-1.E3,1089.,24.0,48.09,-3.07,267.44420833333334,-29.198194444444443,24.0,,2005 TS123,18.31,0.15,0.220278904,2.1321429,2460231.61410,313.27055,52.744686,7.0258963,2460600.5,18.31,,2005 TS123
1925,(2006 CG52),17:48:16.57,-27:44:54.2,-1.E3,4.E3,4295.,23.0,50.79,-2.778,267.06904166666664,-27.74838888888889,23.0,,2006 CG52,17.51,0.15,0.154081611,2.4669252,2461191.19967,312.74270,226.80227,5.2149936,2460600.5,17.51,,2006 CG52
1926,(2006 QB143),17:49:30.55,-30:42:37.4,-200.,-7.E3,6536.,24.2,54.59,-1.286,267.3772916666666,-30.71038888888889,24.2,,2006 QB143,18.82,0.15,0.189811504,2.1215782,2460252.37520,291.34849,56.679067,11.43823,2460600.5,18.82,,2006 QB143
1927,(2006 UC196),17:49:50.26,-28:10:05.2,59.0,3.E3,2620.,23.5,38.34,-6.544,267.45941666666664,-28.168111111111113,23.5,,2006 UC196,17.14,0.15,0.101851182,2.843207,2460188.36650,42.134801,355.55714,10.10852,2460600.5,17.14,,2006 UC196
1928,(2006 UG349),17:49:40.72,-29:26:19.0,-66.2,-2.E3,1956.,24.8,57.48,-12.03,267.41966666666667,-29.43861111111111,24.8,,2006 UG349,19.52,0.15,0.28019415,1.9031594,2460177.56470,39.452665,306.74867,14.067262,2460600.5,19.52,,2006 UG349
1929,(2007 RL355),17:50:08.76,-30:04:19.9,302.,-4.E3,4246.,23.4,51.07,-8.52,267.53649999999993,-30.072194444444445,23.4,,2007 RL355,17.90,0.15,0.069046702,2.4077983,2460494.01510,20.109700,5.8015651,9.707913,2460600.5,17.90,,2007 RL355
1930,(2007 TE505),17:50:23.78,-27:29:34.4,499.,5.E3,5075.,23.5,51.6,-6.048,267.5990833333333,-27.49288888888889,23.5,,2007 TE505,18.07,0.15,0.03484292,2.5144462,2460885.20399,23.907928,87.535128,6.3548176,2460600.5,18.07,,2007 TE505
1931,(2007 UZ95),17:48:30.22,-30:32:52.3,-992.,-6.E3,6029.,23.9,42.49,-9.087,267.1259166666666,-30.547861111111114,23.9,,2007 UZ95,17.98,0.15,0.170439212,2.1594928,2460648.34465,30.952221,32.581773,12.168484,2460600.5,17.98,,2007 UZ95
1932,(2008 AN33),17:49:01.78,-30:22:15.2,-578.,-5.E3,5342.,25.9,27.09,-5.493,267.25741666666664,-30.37088888888889,25.9,,2008 AN33,18.98,0.15,0.698361444,0.77182774,2460441.04670,29.281892,28.304176,10.529425,2460600.5,18.98,,2008 AN33
1933,(2008 UQ376),17:49:37.04,-27:02:10.8,-114.,7.E3,6694.,23.4,44.93,-4.651,267.40433333333334,-27.036333333333335,23.4,,2008 UQ376,17.76,0.15,0.243732881,1.9548894,2461039.70603,15.642953,108.94559,4.9002271,2460600.5,17.76,,2008 UQ376
1934,(2009 HU24),17:48:37.76,-30:30:21.1,-893.,-6.E3,5864.,22.4,49.07,-13.13,267.1573333333333,-30.505861111111113,22.4,,2009 HU24,16.72,0.15,0.150918582,2.756452,2461302.04350,41.454738,172.54731,16.462139,2460600.5,16.72,,2009 HU24
1935,(2009 SE303),17:49:04.32,-27:22:42.2,-544.,5.E3,5490.,23.1,73.43,-5.577,267.268,-27.37838888888889,23.1,,2009 SE303,18.49,0.15,0.185698417,1.9320397,2460288.24010,353.05097,311.51211,4.6262309,2460600.5,18.49,,2009 SE303
1936,(2009 SO402),17:49:09.44,-27:24:27.3,-477.,5.E3,5378.,23.7,61.9,-7.572,267.2893333333333,-27.40758333333333,23.7,,2009 SO402,18.69,0.15,0.127589278,2.082524,2460401.53740,26.953070,310.73246,7.0285003,2460600.5,18.69,,2009 SO402
1937,(2009 TU54),17:50:57.48,-28:01:32.5,942.,3.E3,3271.,22.6,57.63,-10.37,267.73949999999996,-28.025694444444444,22.6,,2009 TU54,17.37,0.15,0.117781941,2.4812146,2459879.13500,41.842825,243.31649,11.622876,2460600.5,17.37,,2009 TU54
1938,(2009 VP9),17:49:25.89,-27:01:09.6,-261.,7.E3,6760.,22.2,119.7,-19.7,267.357875,-27.019333333333332,22.2,,2009 VP9,18.67,0.15,0.536404386,1.2671046,2459895.22130,34.240886,262.22767,12.032396,2460600.5,18.67,,2009 VP9
1939,(2009 WC106),17:48:42.31,-28:25:52.3,-833.,2.E3,1869.,27.2,135.2,10.78,267.17629166666666,-28.431194444444447,27.2,,2009 WC106,25.50,0.15,0.178243589,0.88988335,2455229.77322,243.00711,257.78606,5.3471387,2455161.5,25.50,,2009 WC106
1940,(2009 WZ114),17:49:50.59,-28:00:04.4,63.5,3.E3,3220.,23.2,51.61,-8.743,267.46079166666664,-28.00122222222222,23.2,,2009 WZ114,17.64,0.15,0.064552681,2.651463,2459978.84460,40.002516,269.43281,10.386674,2460600.5,17.64,,2009 WZ114
1941,(2010 AA47),17:49:44.75,-28:04:29.3,-13.3,3.E3,2955.,22.9,45.68,-0.03616,267.43645833333335,-28.074805555555557,22.9,,2010 AA47,17.07,0.15,0.108413435,2.6735238,2461072.88238,281.91634,242.24777,9.4958209,2460600.5,17.07,,2010 AA47
1942,(2010 CQ231),17:48:31.37,-29:28:53.2,-977.,-2.E3,2323.,22.1,51.75,6.651,267.1307083333333,-29.481444444444442,22.1,,2010 CQ231,16.66,0.15,0.186627484,2.5476771,2461310.98388,264.64096,303.83324,21.415017,2460600.5,16.66,,2010 CQ231
1943,(2010 HK9),17:49:50.05,-27:48:52.0,56.3,4.E3,3893.,24.0,36.17,-8.837,267.45854166666663,-27.814444444444444,24.0,,2010 HK9,17.61,0.15,0.175733841,2.416996,2460506.17728,57.297020,10.981683,17.515386,2460600.5,17.61,,2010 HK9
1944,(2010 ME107),17:50:48.25,-30:21:52.6,821.,-5.E3,5351.,22.8,66.1,-4.975,267.70104166666664,-30.364611111111113,22.8,,2010 ME107,17.96,0.15,0.124324128,2.2462853,2459954.06730,325.29029,278.28752,7.72584,2460600.5,17.96,,2010 ME107
1945,(2010 PA51),17:48:30.62,-27:28:18.7,-987.,5.E3,5221.,23.5,41.23,-0.9343,267.1275833333333,-27.47186111111111,23.5,,2010 PA51,17.43,0.15,0.181259151,2.2405429,2460464.77470,285.83969,118.68510,7.6439615,2460600.5,17.43,,2010 PA51
1946,(2010 TU71),17:48:27.25,-27:52:29.4,-1.E3,4.E3,3818.,23.4,48.21,-5.189,267.11354166666666,-27.874833333333335,23.4,,2010 TU71,17.70,0.15,0.065261102,2.5395022,2460424.10560,8.0606726,18.480837,5.5542519,2460600.5,17.70,,2010 TU71
1947,(2011 QH80),17:48:13.69,-29:27:38.2,-1.E3,-2.E3,2365.,23.6,80.64,-5.262,267.05704166666663,-29.46061111111111,23.6,,2011 QH80,19.28,0.15,0.178691278,1.7876599,2460431.11610,322.87115,338.64069,6.6530613,2460600.5,19.28,,2011 QH80
1948,(2011 SU52),17:50:22.69,-30:24:52.8,485.,-5.E3,5490.,23.9,55.29,-8.376,267.5945416666666,-30.414666666666665,23.9,,2011 SU52,18.72,0.15,0.108816804,1.988687,2460912.59810,6.8630204,75.002946,8.8873376,2460600.5,18.72,,2011 SU52
1949,(2011 UT277),17:50:00.53,-27:15:18.8,194.,6.E3,5909.,24.2,54.52,-6.439,267.5022083333333,-27.255222222222223,24.2,,2011 UT277,19.01,0.15,0.127344127,1.9811142,2461016.36904,24.577023,84.178116,6.2765802,2460600.5,19.01,,2011 UT277
1950,(2011 UP347),17:50:50.07,-30:13:55.8,845.,-5.E3,4884.,25.0,45.19,-10.22,267.7086249999999,-30.232166666666664,25.0,,2011 UP347,19.21,0.15,0.277863459,1.869863,2460391.37700,40.563611,344.51954,14.767261,2460600.5,19.21,,2011 UP347
