,Object name,Astrometric RA (hh:mm:ss),"Astrometric Dec (dd mm'ss"")","Dist. from center RA ("")","Dist. from center Dec ("")","Dist. from center Norm ("")",Visual magnitude (V),"RA rate (""/h)","Dec rate (""/h)",ra,dec,V_mag,name,id
8099,551956 (2013 QO36),17:48:20.63,-29:45:17.4,-1.E3,-3.E3,3287.,22.5,19.05,-6.122,267.0859583333333,-29.754833333333334,22.5,551956,2013 QO36
8100,628191 (2014 OA340),17:48:30.30,-30:48:12.2,-991.,-7.E3,6938.,22.1,34.3,-8.203,267.12624999999997,-30.80338888888889,22.1,628191,2014 OA340
8101,(1999 CD130),17:51:16.21,-26:58:34.1,1.E3,7.E3,7013.,23.0,33.61,-6.247,267.81754166666667,-26.976138888888887,23.0,,1999 CD130
8102,(2005 GL235),17:48:24.93,-27:09:03.9,-1.E3,6.E3,6371.,21.9,37.77,-10.1,267.10387499999996,-27.151083333333332,21.9,,2005 GL235
8103,(2007 VF366),17:48:28.40,-27:05:39.5,-1.E3,6.E3,6565.,22.5,29.82,-0.3878,267.11833333333334,-27.094305555555554,22.5,,2007 VF366
8104,(2012 UN222),17:48:13.60,-28:18:49.6,-1.E3,2.E3,2421.,23.2,18.52,-4.115,267.0566666666667,-28.31377777777778,23.2,,2012 UN222
8105,(2013 HD73),17:48:25.93,-29:52:22.1,-1.E3,-4.E3,3669.,23.1,18.18,-8.46,267.1080416666666,-29.872805555555555,23.1,,2013 HD73
8106,(2014 OO2),17:48:27.19,-27:51:57.2,-1.E3,4.E3,3849.,23.8,48.18,-4.84,267.11329166666667,-27.86588888888889,23.8,,2014 OO2
8107,(2014 QP178),17:48:12.86,-30:36:08.6,-1.E3,-6.E3,6262.,22.7,23.81,-9.964,267.0535833333333,-30.60238888888889,22.7,,2014 QP178
8108,(2016 EO292),17:48:23.09,-28:51:39.1,-1.E3,125.,1093.,22.6,17.25,-4.62,267.0962083333333,-28.860861111111113,22.6,,2016 EO292
8109,(2016 NR181),17:48:23.08,-29:42:49.5,-1.E3,-3.E3,3138.,23.0,21.04,3.597,267.09616666666665,-29.71375,23.0,,2016 NR181
8110,(2019 AY60),17:48:35.12,-28:44:50.1,-928.,534.,1071.,22.6,33.38,-11.95,267.14633333333336,-28.74725,22.6,,2019 AY60
8111,(2019 PF41),17:48:21.75,-30:49:27.9,-1.E3,-7.E3,7029.,24.4,14.51,-7.685,267.090625,-30.824416666666668,24.4,,2019 PF41
8112,(2020 MS15),17:48:21.21,-28:03:49.1,-1.E3,3.E3,3196.,23.6,28.3,-1.161,267.088375,-28.06363888888889,23.6,,2020 MS15
8113,(2022 GB21),17:48:17.37,-27:39:48.7,-1.E3,4.E3,4587.,22.9,24.21,-6.264,267.07237499999997,-27.663527777777777,22.9,,2022 GB21
8114,2314 Field (1977 VD),17:48:21.34,-26:59:20.6,-1.E3,7.E3,6954.,18.0,29.2,-10.03,267.08891666666665,-26.989055555555556,18.0,2314 Field,1977 VD
8115,5377 Komori (1991 FM),17:48:35.00,-27:28:28.6,-929.,5.E3,5200.,17.7,30.9,-5.822,267.1458333333333,-27.47461111111111,17.7,5377 Komori,1991 FM
8116,45333 (2000 AR81),17:48:31.82,-28:57:17.2,-971.,-213.,993.8,18.1,38.15,4.461,267.1325833333333,-28.954777777777778,18.1,45333,2000 AR81
8117,146329 (2001 NJ8),17:48:32.94,-27:22:59.9,-956.,5.E3,5529.,20.6,27.71,-1.408,267.13725,-27.383305555555555,20.6,146329,2001 NJ8
8118,221589 (2006 VT150),17:48:31.48,-27:24:37.4,-975.,5.E3,5436.,21.7,38.77,-9.496,267.1311666666667,-27.41038888888889,21.7,221589,2006 VT150
8119,226919 (2004 TS209),17:48:16.17,-29:42:14.2,-1.E3,-3.E3,3137.,22.0,15.03,-7.915,267.06737499999997,-29.703944444444442,22.0,226919,2004 TS209
8120,301235 (2009 BE34),17:49:03.10,-26:58:19.7,-560.,7.E3,6948.,22.0,23.93,-5.383,267.2629166666666,-26.97213888888889,22.0,301235,2009 BE34
8121,321508 (2009 SE170),17:48:19.35,-28:16:59.4,-1.E3,2.E3,2481.,20.6,26.1,0.9497,267.080625,-28.283166666666666,20.6,321508,2009 SE170
8122,415629 (2014 QX371),17:48:19.87,-29:04:53.4,-1.E3,-669.,1311.,22.3,31.18,-11.48,267.08279166666665,-29.0815,22.3,415629,2014 QX371
8123,498326 (2007 VK183),17:48:13.93,-28:20:10.4,-1.E3,2.E3,2349.,22.8,15.7,-2.789,267.0580416666666,-28.336222222222222,22.8,498326,2007 VK183
8124,524344 (2001 XQ8),17:48:20.12,-29:15:47.1,-1.E3,-1.E3,1735.,22.1,11.56,-12.83,267.0838333333333,-29.263083333333334,22.1,524344,2001 XQ8
8125,528551 (2008 UT227),17:48:20.76,-27:34:19.9,-1.E3,5.E3,4895.,23.6,17.55,-8.971,267.0865,-27.572194444444445,23.6,528551,2008 UT227
8126,543994 (2014 QH458),17:48:19.63,-30:16:27.7,-1.E3,-5.E3,5089.,23.4,10.2,-4.169,267.0817916666666,-30.27436111111111,23.4,543994,2014 QH458
8127,671212 (2014 HF123),17:48:17.41,-29:48:08.1,-1.E3,-3.E3,3462.,22.1,34.53,-42.31,267.07254166666667,-29.80225,22.1,671212,2014 HF123
8128,706892 (2010 VG77),17:48:23.04,-26:59:29.4,-1.E3,7.E3,6942.,22.6,17.4,-11.37,267.09599999999995,-26.991500000000002,22.6,706892,2010 VG77
8129,708086 (2011 UV276),17:48:30.79,-28:03:50.5,-984.,3.E3,3153.,22.2,22.18,-0.2875,267.1282916666666,-28.064027777777778,22.2,708086,2011 UV276
8130,741722 (2006 SL41),17:48:13.90,-27:31:05.6,-1.E3,5.E3,5105.,23.6,17.0,-6.389,267.05791666666664,-27.51822222222222,23.6,741722,2006 SL41
8131,750190 (2014 SY81),17:48:16.87,-29:11:12.6,-1.E3,-1.E3,1568.,22.1,43.81,-9.955,267.07029166666666,-29.186833333333333,22.1,750190,2014 SY81
8132,(2007 TX455),17:48:23.38,-27:46:05.1,-1.E3,4.E3,4202.,23.2,22.28,-8.192,267.0974166666667,-27.768083333333333,23.2,,2007 TX455
8133,(2009 WF135),17:48:14.39,-30:34:00.7,-1.E3,-6.E3,6133.,23.4,17.96,-9.373,267.05995833333327,-30.566861111111113,23.4,,2009 WF135
8134,(2014 ED214),17:48:21.09,-27:42:03.4,-1.E3,4.E3,4444.,22.6,27.1,-3.899,267.08787499999994,-27.700944444444445,22.6,,2014 ED214
8135,(2014 WN347),17:48:23.67,-30:21:36.5,-1.E3,-5.E3,5380.,23.6,19.43,-7.505,267.098625,-30.36013888888889,23.6,,2014 WN347
8136,(2016 GV119),17:48:21.89,-28:44:40.0,-1.E3,544.,1229.,22.1,22.75,-14.01,267.0912083333333,-28.744444444444447,22.1,,2016 GV119
8137,(2017 QH100),17:48:30.46,-28:11:38.3,-989.,3.E3,2714.,23.1,46.73,-2.612,267.12691666666666,-28.19397222222222,23.1,,2017 QH100
8138,(2018 BA111),17:48:21.86,-28:44:28.8,-1.E3,555.,1235.,23.2,22.24,-6.31,267.0910833333333,-28.741333333333333,23.2,,2018 BA111
8139,(2020 QK50),17:48:12.49,-28:08:35.5,-1.E3,3.E3,2975.,23.0,12.41,1.301,267.05204166666664,-28.143194444444443,23.0,,2020 QK50
8140,(2022 KU27),17:48:14.84,-29:10:36.0,-1.E3,-1.E3,1564.,22.5,20.65,3.577,267.0618333333333,-29.17666666666667,22.5,,2022 KU27
8141,(2023 RY137),17:48:25.21,-27:36:56.5,-1.E3,5.E3,4729.,23.9,18.35,-9.34,267.10504166666664,-27.615694444444447,23.9,,2023 RY137
8142,(2023 RR158),17:48:20.54,-27:57:05.3,-1.E3,3.E3,3580.,24.3,14.71,2.442,267.0855833333333,-27.951472222222222,24.3,,2023 RR158
8143,(2024 RX33),17:48:32.53,-27:14:23.0,-962.,6.E3,6040.,23.6,35.75,-5.227,267.13554166666665,-27.239722222222223,23.6,,2024 RX33
8144,(2024 RO158),17:48:32.75,-30:21:30.8,-959.,-5.E3,5352.,24.3,27.13,-6.508,267.13645833333334,-30.358555555555558,24.3,,2024 RO158
